"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"1","__Chhiiccaaa__","RT @sara8smiles: Hello! Is anybody home? 
#Research #DirectedEnergyWeapons 
#CaliforniaFires #CaliforniaWildfires 
Found on FB. https://t.c‚Ä¶",68,0,0,0,-121.8863286,37.3382082
"2","__goebel","RT @BradPaisley: These firefighters are beasts. Tireless, commited, and brave. God bless them every one. #CaliforniaWildfires",750,0,2,2,-117.8372666,33.8216089
"3","_AmyanimalLover","RT @NBCNewsPictures: PHOTOS: California Coast Battles Massive #Wildfire https://t.co/wI1T8k6Vj2 #CaliforniaWildfires Ì†ΩÌ≥∑ @EliasonMike @AP_Ima‚Ä¶",26,0,0,0,-97.3208492,32.5420821
"5","_bpstudios","Are you or someone you know a victim of the #Wildfires in #socal? Documentary being filmed &amp; looking for victims, f‚Ä¶ https://t.co/Fx4V6GZmui",2,1,0,0,-118.2436849,34.0522342
"7","_juicyj14_","RT @BradPaisley: These firefighters are beasts. Tireless, commited, and brave. God bless them every one. #CaliforniaWildfires",750,0,2,2,-117.164121,32.71705
"8","_missmoesha","RT @SCE: You have the best-in-class crews at your service. Ì†ΩÌ±∑Ì†ºÌøΩÌ†ΩÌ≤õ #CaliforniaWildfires #ThomasFire #RyeFire #LibertyFire https://t.co/LyjhHlYu‚Ä¶",6,0,0,0,-104.9795145,39.7367324
"9","_Uh__Huh_","RT @BradPaisley: These firefighters are beasts. Tireless, commited, and brave. God bless them every one. #CaliforniaWildfires",750,0,2,2,-118.542586,34.3916641
"13","1037thelegend","RT @RedCrossCasc: Everyone needs a little #puppylove sometimes. #RedCross responders come in all shapes and sizes. #CaliforniaWildfires #Th‚Ä¶",8,0,0,0,-122.6764815,45.5230622
"14","1051KNCI","RT @BradPaisley: These firefighters are beasts. Tireless, commited, and brave. God bless them every one. #CaliforniaWildfires",750,0,2,2,-121.4943996,38.5815719
"15","1067theEagle","RT @RedCrossCasc: Everyone needs a little #puppylove sometimes. #RedCross responders come in all shapes and sizes. #CaliforniaWildfires #Th‚Ä¶",8,0,0,0,-122.6764815,45.5230622
"17","1190KEX","RT @RedCrossCasc: Everyone needs a little #puppylove sometimes. #RedCross responders come in all shapes and sizes. #CaliforniaWildfires #Th‚Ä¶",8,0,0,0,-122.6764815,45.5230622
"18","143Intel","RT @SLOTribune: #ThomasFire forces longest closure of Santa Barbara schools in 100 years #wildfires #CaliforniaWildfires #wildfire #fire
ht‚Ä¶",6,0,0,0,-119.4179324,36.778261
"22","1MaryAyala","RT @sarahleigh27: Go get it Boys!! #CaliforniaWildfires #PrayForCalifornia https://t.co/LmEZf5fYQw",5,0,0,0,-119.4179324,36.778261
"23","1MaryAyala","The #ThomasFire has burnt 231,700 acres and has been going on for 8 days. It is 20% contained. I live in‚Ä¶ https://t.co/dvCDK0mylP",0,4,0,0,-119.4179324,36.778261
"24","1WORLDPEACESIGN","@SenGillibrand Instead of always attacking back and starting ish, what would be a good presidential look is to cong‚Ä¶ https://t.co/tyUoR5irSc",1,7,1,1,-98.4170523,29.5170728
"25","23dwayne","Prayers for California. #CaliforniaWildfires https://t.co/FL4nhnJXEb",0,0,0,0,-112.0740373,33.4483771
"27","26R13","RT @BLMca: 12/11 #CaliforniaWildfires progression map. Follow fire info @inciweb ‚Üí https://t.co/2CKU53ZN1s  &amp; @CAL_FIRE ‚Üí https://t.co/rVnS‚Ä¶",8,0,0,0,-117.475,34.3117
"28","26R13","RT @BoiseFire: Our crews have officially been assigned to the #ThomasFire #CaliforniaWildfires https://t.co/uNU0db1nA7",28,0,0,0,-117.475,34.3117
"29","2bhisbride","RT @TrishaDishes: #SaturdayMorning 
MUST SEE: These fires are ERUPTING in isolation &amp; clearly not fueled by brush 

#CaliforniaWildfires #D‚Ä¶",81,0,0,0,-77.5049863,37.3770935
"30","36Angeldb","RT @bestnaunieever: My sweet husband dropped off a palate of #AquaHydrate to the #CaliforniaWildfires #FireFighters donated by https://t.co‚Ä¶",68,0,1,1,-99.9018131,31.9685988
"33","444sai","RT @Starseed52: Are #Farmworkers &amp; #Immigrants Being Left Behind Amid Raging Southern #CaliforniaWildfires? https://t.co/dXuDaGyPPb via @de‚Ä¶",2,0,-1,1,-94.68748,38.9250212
"36","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0‚Ä¶ https://t.co/nmnEgvmS6y",2,1,0,0,-79.3831843,43.653226
"37","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0 ‚Ä¶‚Ä¶ https://t.co/KkdfOelf1d",2,0,0,0,-79.3831843,43.653226
"38","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0‚Ä¶ https://t.co/xxoyRK1LNd",0,0,0,0,-79.3831843,43.653226
"39","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0 ‚Ä¶‚Ä¶ https://t.co/ff8V6g2gIU",0,0,0,0,-79.3831843,43.653226
"40","8NewsNow","#CaliforniaWildfires larger than NYC and Boston combined #8NN
https://t.co/YT7W5xMugI https://t.co/iVq27r34jy",2,4,0,0,-115.1398296,36.1699412
"42","A_Hannan_Ismail","RT @Britanniacomms: Live footage from car dashboard of #CaliforniaFires looks like a scene from Dante's Inferno #CaliforniaWildfires #Trave‚Ä¶",90,0,1,1,-93.4371282,44.9722862
"44","AandETodayNews","This is a car windshield in Santa Barbara! #CaliforniaWildfires #CaliforniaFires #santaanawinds  https://t.co/0kKtYGXpm3",0,0,0,0,-95.712891,37.09024
"45","aaronjshay","RT @ActorsEquity: If you work in performing arts &amp; entertainment and have been impacted by the #CaliforniaWildfires, @TheActorsFund can pro‚Ä¶",24,0,1,1,-122.3320708,47.6062095
"47","aashleyjjackson","RT @BradPaisley: These firefighters are beasts. Tireless, commited, and brave. God bless them every one. #CaliforniaWildfires",750,0,2,2,-119.4179324,36.778261
"48","abc15","RT @NickCiletti: Arizona currently has 153 people helping with the #CaliforniaWildfires according to the Dept. of Forestry @abc15",5,0,1,1,-112.0740373,33.4483771
"49","abc15","153 #Arizona firefighters sent to help fight #CaliforniaWildfires: https://t.co/iouO0f6COe #abc15 https://t.co/ylvJCnlYVi",5,23,0,0,-112.0740373,33.4483771
"50","abc15","RT @NickCiletti: BIG THANKS to Capt. Kurt Walker with @PeoriaFire who is helping tackle the #CaliforniaWildfires along with several other V‚Ä¶",8,0,1,1,-112.0740373,33.4483771
"52","AbyGrab0n","RT @sara8smiles: Hello! Is anybody home? 
#Research #DirectedEnergyWeapons 
#CaliforniaFires #CaliforniaWildfires 
Found on FB. https://t.c‚Ä¶",68,0,0,0,-99.9018131,31.9685988
"53","aceloew","Here's A Link To Keep Track Of #CaliforniaWildFires https://t.co/wMwkXsUYds via @aceloew",0,0,0,0,-104.6737376,39.8560963
"54","AchieveTheDream","We would like to share our deepest condolences with the students, colleges, and families affected by the California‚Ä¶ https://t.co/eY9apNJwva",1,7,1,1,-77.026088,38.9906657
"56","action","Will you #TakeAction for victims of the #CaliforniaWildfires with @DirectRelief? Via @TIME: 
https://t.co/M3YGc7x40V https://t.co/WW1m0lpuPc",0,1,0,0,-73.9712488,40.7830603
"57","action","What does #climatechange have to do with the #CaliforniaWildfires? Learn more and support victims in with‚Ä¶ https://t.co/9rpXDE1zFI",0,2,1,1,-73.9712488,40.7830603
"58","ActorsEquity","As a reminder, If you work in performing arts &amp; entertainment and have been impacted by the #CaliforniaWildfires,‚Ä¶ https://t.co/HkcJZWo60x",12,14,1,1,-115.1745559,36.1023715
"59","ad198741","RT @dmitchellYOW: If this is the ‚Äúnew normal‚Äù then we‚Äôre all in very deep trouble. Southern #CaliforniaWildfires may provide a glimpse into‚Ä¶",1,0,-1,1,-79.3831843,43.653226
"60","adamjohnstonwpg","RT @bountyofbeads2: California wildfires larger than NYC, Boston #wildfires #CaliforniaWildfires #ThomasFire #CreekFire #Ventura #LAFires #‚Ä¶",2,0,0,0,-97.1383744,49.895136
"61","adamjohnstonwpg","RT @ronny_jumeau: #California #wildfires: Governor brands fires '#newnormal' https://t.co/Otp2KxR33q #Californiawildfires #extremeweather #‚Ä¶",2,0,0,0,-97.1383744,49.895136
"62","AERORM","Godspeed to the crews of this incredible #airplane as they carry out their life and property saving missions fighti‚Ä¶ https://t.co/TiMuL1lMKv",4,3,1,1,-94.6858998,46.729553
"64","AFOPHealth","Please share any information about the #farmworker housing and #agricultural community damage Ì†ΩÌ≤ùOur thoughts are wit‚Ä¶ https://t.co/re69qq5sJQ",1,1,0,0,-77.0368707,38.9071923
